muso,instrument,genre,ability,age_group,paid,drinks,night,gender
102,bass,bluegrass,decent,old-head,0,red_wine,midweek,male
103,accordion,ITM,decent,college_kid,0,red_wine,midweek,male
104,guitar,ITM,decent,old-head,0,water/soft drinks,midweek,female
105,accordion,ITM,wizz,old-head,0,spirits,weekend,male
106,guitar,blues,decent,so_called_grown-up,0,craft_beers,midweek,male
107,fiddle,ITM,wizz,college_kid,0,water/soft drinks,midweek,male
108,guitar,bluegrass,wizz,so_called_grown-up,0,other_draft,midweek,female
109,flute,ITM,wizz,old-head,0,water/soft drinks,weekend,female
110,uilleann_pipes,ITM,decent,old-head,0,spirits,midweek,male
111,accordion,ITM,wizz,old-head,0,red_wine,midweek,male
112,banjo,old-time,decent,so_called_grown-up,0,water/soft drinks,weekend,male
113,fiddle,ITM,wizz,old-head,0,craft_beers,midweek,female
114,accordion,ITM,wizz,college_kid,0,red_wine,weekend,female
115,guitar,blues,decent,old-head,0,murphys,weekend,male
116,fiddle,old-time,decent,college_kid,0,water/soft drinks,midweek,male
117,mandolin,old-time,wizz,old-head,0,craft_beers,weekend,female
118,mandolin,bluegrass,decent,old-head,0,spirits,weekend,female
119,fiddle,ITM,wizz,college_kid,0,other_draft,weekend,male
120,drums,blues,decent,old-head,1,spirits,midweek,female
121,fiddle,ITM,decent,college_kid,1,beamish,midweek,male
122,guitar,old-time,wizz,old-head,0,beamish,midweek,female
123,fiddle,ITM,wizz,college_kid,0,craft_beers,weekend,female
124,banjo,bluegrass,decent,old-head,0,red_wine,weekend,male
125,fiddle,ITM,decent,college_kid,0,spirits,midweek,male
126,accordion,ITM,wizz,old-head,1,other_draft,midweek,female
127,guitar,bluegrass,wizz,old-head,0,red_wine,both,male
128,keyboard,blues,decent,so_called_grown-up,0,craft_beers,midweek,male
129,bass,old-time,decent,old-head,0,water/soft drinks,weekend,male
130,uilleann_pipes,ITM,wizz,old-head,1,red_wine,weekend,male
131,bass,old-time,wizz,old-head,0,other_draft,midweek,male
132,bass,old-time,decent,college_kid,0,water/soft drinks,midweek,male
133,guitar,blues,decent,so_called_grown-up,0,beamish,midweek,male
134,fiddle,ITM,decent,college_kid,0,water/soft drinks,both,female
135,concertina,ITM,decent,old-head,0,guinness,midweek,male
136,guitar,blues,decent,college_kid,0,murphys,midweek,male
137,fiddle,ITM,wizz,so_called_grown-up,0,spirits,midweek,male
138,accordion,ITM,wizz,so_called_grown-up,1,red_wine,midweek,female
139,uilleann_pipes,ITM,wizz,so_called_grown-up,1,water/soft drinks,weekend,male
140,fiddle,bluegrass,wizz,so_called_grown-up,0,red_wine,midweek,male
141,banjo,ITM,wizz,old-head,0,red_wine,weekend,male
142,fiddle,bluegrass,decent,old-head,0,murphys,weekend,male
143,accordion,ITM,decent,so_called_grown-up,0,beamish,weekend,male
144,mandolin,old-time,wizz,so_called_grown-up,0,beamish,midweek,male
145,fiddle,ITM,wizz,old-head,1,murphys,weekend,male
146,fiddle,ITM,wizz,college_kid,1,beamish,weekend,male
147,guitar,bluegrass,decent,college_kid,0,craft_beers,midweek,male
148,bass,old-time,wizz,college_kid,0,spirits,weekend,male
149,fiddle,ITM,wizz,old-head,0,water/soft drinks,weekend,male
150,fiddle,old-time,wizz,so_called_grown-up,0,other_draft,midweek,male
151,concertina,ITM,decent,old-head,0,water/soft drinks,both,male
152,drums,blues,decent,old-head,0,water/soft drinks,weekend,male
153,guitar,old-time,decent,college_kid,0,spirits,weekend,male
154,accordion,ITM,decent,old-head,0,other_draft,both,male
155,accordion,ITM,decent,old-head,0,murphys,midweek,male
156,fiddle,ITM,decent,college_kid,0,water/soft drinks,weekend,male
157,accordion,ITM,decent,college_kid,0,guinness,midweek,male
158,guitar,ITM,wizz,college_kid,1,other_draft,weekend,male
159,accordion,ITM,decent,college_kid,1,beamish,weekend,female
160,guitar,ITM,decent,college_kid,0,spirits,midweek,male
161,guitar,old-time,wizz,old-head,1,red_wine,weekend,male
162,guitar,old-time,decent,so_called_grown-up,1,beamish,midweek,female
163,fiddle,bluegrass,wizz,college_kid,0,guinness,midweek,female
164,bodhrán,ITM,decent,old-head,0,craft_beers,midweek,female
165,flute,ITM,decent,so_called_grown-up,0,craft_beers,midweek,male
